Name,Rating,Number of Ratings,Price,Region,Winery,Wine style,Alcohol content,Grapes,Food pairings,Bold,Tannin,Sweet,Acidic,Lean fish,Veal,Shellfish,Spicy food,Beef,Aperitif,Mild and soft cheese,Poultry,"Rich fish (salmon, tuna etc)",Cured Meat,Pasta,Pork,Lamb,Mushrooms,Appetizers and snacks,"Game (deer, venison)",Vegetarian,Mature and hard cheese,Goat cheese,Fruity desserts
Ladies Who Shoot Their Lunch Shiraz 2018,4.0,65,44.09,Australia / Victoria,Fowles Wine,Australian Shiraz,14.0,100 Shiraz/Syrah,"['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",84.11,45.44,15.41,47.67,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False
Filius Cabernet Sauvignon 2018,3.9,554,20.89,Australia / Western Australia / South West Australia / Margaret River,Vasse Felix,Australian Cabernet Sauvignon,14.5,100 Cabernet Sauvignon,"['Beef', 'Lamb', 'Poultry']",65.23,55.48,3.89,54.53,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
The Bolter Shiraz 2018,3.9,48,14.95,Australia / South Australia,Mr. Riggs,Australian Shiraz,14.5,100 Shiraz/Syrah,"['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",85.0,44.65,17.81,42.15,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False
Director's Cut Shiraz 2012,4.1,1091,35.99,Australia / South Australia / Fleurieu / Langhorne Creek,Heartland,Australian Shiraz,14.8,100 Shiraz/Syrah,"['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",85.0,45.85,21.67,42.02,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False
Mother's Milk Shiraz 2020,3.9,154,16.14,Australia / South Australia / Barossa,First Drop,Australian Shiraz,14.5,100 Shiraz/Syrah,"['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",85.0,42.44,18.06,42.39,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False
Max's Cabernet Sauvignon 2016,3.9,1111,19.99,Australia / South Australia,Penfolds,Australian Cabernet Sauvignon,14.5,100 Cabernet Sauvignon,"['Beef', 'Lamb', 'Poultry']",68.33,55.45,7.89,53.45,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
Filius Chardonnay 2020,3.9,295,20.89,Australia / Western Australia / South West Australia / Margaret River,Vasse Felix,Australian Chardonnay,12.5,100 Chardonnay,"['Pork', 'Rich fish (salmon, tuna etc)', 'Vegetarian', 'Poultry']",53.1818,46.29526972,9.05,53.555,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,True,False,False,False
Snake Charmer Shiraz 2016,3.9,173,33.99,Australia / South Australia / Fleurieu / McLaren Vale,Vinaceous,Australian Shiraz,14.5,100 Shiraz/Syrah,"['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",85.0,45.85,18.44,44.92,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False
Cliff Edge Shiraz 2015,3.9,174,32.0,Australia / Victoria / Western Victoria / Grampians,Mount Langi Ghiran,Australian Shiraz,14.0,100 Shiraz/Syrah,"['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",82.99,44.17,19.26,44.85,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False
The Maitre d'Cabernet Sauvignon 2019,4.0,380,25.94,Australia / South Australia / Fleurieu / McLaren Vale,Mollydooker,Australian Cabernet Sauvignon,16.0,100 Cabernet Sauvignon,"['Beef', 'Lamb', 'Poultry']",70.23,56.28,13.08,53.49,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
